timestamp, folderName, model, test_acc
2025-04-29 14:20:00.645352, 5way_5shot_LabelPropagation_alpha0.6_k20_pretrained_20250429_135705, epoch_21_0.8920000249147415_best.pth, 0.9789466792941094
2025-04-29 14:35:25.009006, 5way_10shot_LabelPropagation_alpha0.6_k20_pretrained_20250429_142000, epoch_7_0.9291999763250351_best.pth, 0.9909599884152412
2025-04-29 15:51:34.295596, 10way_5shot_LabelPropagation_alpha0.6_k20_pretrained_20250429_143525, epoch_51_0.8761333572864533_best.pth, 0.9597933599948884
2025-04-29 16:19:55.236707, 10way_10shot_LabelPropagation_alpha0.6_k20_pretrained_20250429_155134, epoch_5_0.9084999799728394_best.pth, 0.9704199711084366
