Value,CPU Arch, 5way_5shot, 5way_10shot, 10way_5shot, 10way_10shot
closed_set_acc,arm,0.8373933352082967,0.8415149978250265,0.7235033338218927,0.7938599997460842
open_set_auroc,arm,0.8159338666666666,0.8383979,0.7981787666666667,0.8317161
closed_set_acc,i386,0.7251866677701473,0.7772749986201525,0.6642133335620165,0.6684924994707108
open_set_auroc,i386,0.665597,0.7325142,0.6585920999999999,0.6654009000000001
