Model, 5way_5shot, 5way_10shot, 10way_5shot, 10way_10shot
GCN,0.9106333547890187,0.9259899788320066,0.870744019418955,0.8986229796111582
GAT,0.9130093550324441,0.9276659783422947,0.8676393541991712,0.8935209809660911
GIN,0.8866906888663768,0.9123419781625272,0.8516813544571399,0.8805649790108205
GraphSAGE,0.9096546887755392,0.9232299787461757,0.8711746864497663,0.8953489796757698
