Value,Lambda, 5way_5shot, 5way_10shot, 10way_5shot, 10way_10shot
closed_set_acc,2.0,0.9154426880061625,0.9304959793150424,0.8722100210368634,0.896132980132103
open_set_auroc,2.0,0.9230555733333334,0.9423880800000001,0.9092408800000001,0.9264633800000001
closed_set_acc,1.5,0.9111986876666546,0.9294379791915416,0.8753673537671567,0.8988499774158003
open_set_auroc,1.5,0.9206069866666666,0.9407277999999998,0.9043933333333334,0.9273931799999999
closed_set_acc,1.0,0.904597350603342,0.9229133158504963,0.8713033530890941,0.8956879808068274
open_set_auroc,1.0,0.9103129333333333,0.9359501866666667,0.89531648,0.92745608
closed_set_acc,0.5,0.9110426882028578,0.9316359791696073,0.8741173534035683,0.8980199782431126
open_set_auroc,0.5,0.9223764533333332,0.9418322,0.9100267466666667,0.9312525199999999
closed_set_acc,0.0,0.9113773542702199,0.932021979057789,0.8747346866905688,0.9005769793987275
open_set_auroc,0.0,0.9200154666666667,0.9413128799999999,0.8174606133333333,0.9290936400000001
