timestamp, folderName, model, test_acc
2025-05-13 11:19:24.578495, 5way_5shot_LabelPropagation_alpha0.7_k20_GCN_20250513_102452, epoch_64_0.9310666853189469_best.pth, 0.9194666897654533
2025-05-13 11:41:17.271768, 5way_10shot_LabelPropagation_alpha0.7_k20_GCN_20250513_111924, epoch_12_0.9453999793529511_best.pth, 0.927479976952076
2025-05-13 13:06:05.325486, 10way_5shot_LabelPropagation_alpha0.7_k20_GCN_20250513_114117, epoch_45_0.8937333554029465_best.pth, 0.8589133512973786
2025-05-13 14:08:29.251830, 10way_10shot_LabelPropagation_alpha0.7_k20_GCN_20250513_130605, epoch_27_0.9232999819517136_best.pth, 0.8699699817299843
2025-05-13 14:42:44.737590, 5way_5shot_LabelPropagation_alpha0.7_k20_GIN_20250513_140829, epoch_31_0.9134666836261749_best.pth, 0.901426690518856
2025-05-13 15:01:44.030496, 5way_10shot_LabelPropagation_alpha0.7_k20_GIN_20250513_144244, epoch_7_0.9401999819278717_best.pth, 0.8909599764943122
2025-05-13 16:05:00.733271, 10way_5shot_LabelPropagation_alpha0.7_k20_GIN_20250513_150144, epoch_25_0.8760666924715043_best.pth, 0.846786684513092
2025-05-13 16:55:10.344090, 10way_10shot_LabelPropagation_alpha0.7_k20_GIN_20250513_160500, epoch_10_0.9130999809503555_best.pth, 0.8379299780726432
2025-05-12 21:28:52.891874, 5way_5shot_LabelPropagation_alpha0.7_k20_GAT_20250512_195744, epoch_38_0.9297333550453186_best.pth, 0.9268133568167687
2025-05-12 22:49:27.562901, 5way_10shot_LabelPropagation_alpha0.7_k20_GAT_20250512_212852, epoch_31_0.9467999809980392_best.pth, 0.9331799783706665
2025-05-13 02:22:43.878302, 10way_5shot_LabelPropagation_alpha0.7_k20_GAT_20250512_224927, epoch_53_0.8957333546876908_best.pth, 0.851793352663517
2025-05-13 04:42:05.820607, 10way_10shot_LabelPropagation_alpha0.7_k20_GAT_20250513_022243, epoch_27_0.9370999825000763_best.pth, 0.8796799816489219
2025-05-21 11:43:23.945263, 5way_5shot_LabelPropagation_alpha0.7_k20_GCN_layers3_128_64_64_20250521_111212, epoch_29_0.9182666891813278_best.pth, 0.9142266919016838
2025-05-21 12:22:59.022881, 5way_10shot_LabelPropagation_alpha0.7_k20_GCN_layers3_128_64_64_20250521_114323, epoch_43_0.9467999821901322_best.pth, 0.9243199777603149
2025-05-21 13:25:15.289180, 10way_5shot_LabelPropagation_alpha0.7_k20_GCN_layers3_128_64_64_20250521_122259, epoch_31_0.8864666879177093_best.pth, 0.8535866860747338
2025-05-21 14:14:59.579263, 10way_10shot_LabelPropagation_alpha0.7_k20_GCN_layers3_128_64_64_20250521_132515, epoch_20_0.9281999832391739_best.pth, 0.8622699809074402
2025-05-21 15:09:39.445960, 5way_5shot_LabelPropagation_alpha0.7_k20_GCN_layers3_128_256_128_20250521_141505, epoch_52_0.936266685128212_best.pth, 0.9215066911578178
2025-05-21 15:46:17.909334, 5way_10shot_LabelPropagation_alpha0.7_k20_GCN_layers3_128_256_128_20250521_150939, epoch_27_0.9463999807834625_best.pth, 0.9312999780774116
2025-05-21 17:32:29.998182, 10way_5shot_LabelPropagation_alpha0.7_k20_GCN_layers3_128_256_128_20250521_154617, epoch_51_0.9025333523750305_best.pth, 0.8693333513736725
2025-05-21 19:00:04.578642, 10way_10shot_LabelPropagation_alpha0.7_k20_GCN_layers3_128_256_128_20250521_173230, epoch_38_0.9328999835252761_best.pth, 0.8707199815511704
